商店街とかけまして、,音楽とときます。,そのこころは、どちらもいろんな、てんぽがあります。
ガムテープとかけまして、,封をした手紙とときます。,そのこころは、どちらもきって貼るんです。
覆水盆に返らずとかけまして、,展覧会とときます。,そのこころは、どちらもどちらも、あーとの祭りです。
BGMとかけまして、,サラダとときます。,そのこころは、どちらも何をかけるのか迷います。
コーラの容器とかけまして、,動物アレルギーとときます。,そのこころは、どちらもペットにびんかんです。
大病院勤務の医者とかけまして、,長くて読みづらい文章とときます。,そのこころは、どちらもかいぎょうするとよい。
オーダーメイドスーツとかけまして、,強い人を前にしたときとときます。,そのこころは、どちらもしたてに出ます。
音楽とかけまして、,梅酒とときます。,そのこころは、どちらもロックは最高です。
小学校のランチとかけまして、,１人の３日分のごはんとときます。,そのこころは、どちらもきっと、きゅうしょく。
ゲームのラスボスとかけまして、,座いすとときます。,そのこころは、どちらも倒すと気持ちいいです。
竹とかけまして、,偶数とときます。,そのこころは、どちらもきれいに割れます。
重度の急な風邪とかけまして、,バーゲンセールとときます。,そのこころは、どちらもおかんが走ります。
電子レンジとかけまして、,ヒップホップとときます。,そのこころは、どちらもラップします。
小倉百人一首とかけまして、,家族が怪我で運ばれる時とときます。,そのこころは、どちらもたんかが集まりました。
ピーチ姫とかけまして、,夫婦喧嘩とときます。,そのこころは、どちらもさらわれる。
数字の１６とかけまして、,住民税アップとときます。,そのこころは、どちらもしのじじょうです。
お肌の手入れとかけまして、,海外旅行とときます。,そのこころは、どちらもパックがおすすめです。
オーダースーツとかけまして、,便利な交通網とときます。,そのこころは、どちらもきやすい。
お掃除必需品とかけまして、,ピアノ・バイオリン・チェロを使った曲とときます。,そのこころは、どちらもさんじゅうそう。
賃貸契約終了間近とかけまして、,アジア料理とときます。,そのこころは、どちらもこうしんりょうが必要です。
こたつとかけまして、,もぐらたたきとときます。,そのこころは、どちらもポカポカします。
初恋とかけまして、,開ける前のコーラとときます。,そのこころは、どちらもぜったいにふらないでください～。
大病院とかけまして、,夏の山道とときます。,そのこころは、どちらもかが多い。
ライバルとかけまして、,正午の時報とときます。,そのこころは、どちらもはり合います。
漫才とかけまして、,メガネとときます。,そのこころは、どちらもどつきがある。
歯医者の治療とかけまして、,音楽の都とときます。,そのこころは、どちらもウイ～ン！
習い事を始めてすぐ発表会とかけまして、,殻付くるみとときます。,そのこころは、どちらもかじったばかりに痛い目に遭う。
お金とかけまして、,薬とときます。,そのこころは、どちらもこうかがあるんです。
ビールとかけまして、,三段跳びとときます。,そのこころは、どちらもホップが重要です。
カラオケとかけまして、,図書館とときます。,そのこころは、どちらもどんどん、かし出します。
深夜とかけまして、,老王の嘆きとときます。,そのこころは、どちらもよも、ふけた。
新入社員とかけまして、,振っても出ない貯金箱とときます。,そのこころは、どちらもこれからだ。
こいのぼりとかけまして、,尾行とときます。,そのこころは、どちらも泳がせてじっと見ます。
夏の終わりとかけまして、,おそ松くんのイヤミとときます。,そのこころは、どちらもざんしょがつきもの。
いい試合とかけまして、,桜とときます。,そのこころは、どちらもぜんせんがある。
ビルの屋上とかけまして、,諸葛亮孔明とときます。,そのこころは、どちらも必ず、さくをめぐらします。
コンタクトレンズとかけまして、,お化粧とときます。,そのこころは、どちらも落とすと良く見えません。
ピアノ・バイオリン・チェロを使った曲とかけまして、,お掃除必需品とときます。,そのこころは、どちらもさんじゅうそう。
画家とかけまして、,ラッコとときます。,そのこころは、どちらもかいが大好きです。
ヒップホップとかけまして、,電子レンジとときます。,そのこころは、どちらもラップします。
ドレスコードが厳しいレストランとかけまして、,サブパイロットとときます。,そのこころは、どちらもふくそうじゅうしです。
おにぎりとかけまして、,工作の時間とときます。,そのこころは、どちらものりを使いたい。
ジャズとかけまして、,ゴルフとときます。,そのこころは、どちらもクラブでスイングします。
開業医とかけまして、,奈良公園とときます。,そのこころは、どちらもやはり、しかが多いです。
正月番組とかけまして、,方言とときます。,そのこころは、どちらも日本各地で、ことなっています。
二次会とかけまして、,国語の授業とときます。,そのこころは、どちらもかんじの大切さを痛感します。
展覧会とかけまして、,覆水盆に返らずとときます。,そのこころは、どちらもどちらも、あーとの祭りです。
乾杯とかけまして、,天ぷらとときます。,そのこころは、どちらもうまくいくには、おんどが肝心です。
授業参観に行った親とかけまして、,天ぷらとときます。,そのこころは、どちらもあげたてが嬉しい。
水やりを忘れた鉢植えの植物とかけまして、,スーパーで夕飯を何にしようか悩んでいる主婦とときます。,そのこころは、どちらも結局、さかなかったそうです。
西郷隆盛とかけまして、,千切りキャベツとときます。,そのこころは、どちらもかつ。
夫婦喧嘩とかけまして、,ピーチ姫とときます。,そのこころは、どちらもさらわれる。
ギターとかけまして、,飛行機とときます。,そのこころは、どちらもこうどがあって進行します。
俺が守る！とかけまして、,動物園とときます。,そのこころは、どちらもかば　います。
和食とかけまして、,天然の牡蠣とときます。,そのこころは、どちらもようしょくではありません。
おもちとかけまして、,宝くじに当たったとときます。,そのこころは、どちらもついてます。
芝居とかけまして、,初夢とときます。,そのこころは、どちらもえんぎのいいのが見たいです。
ラブラブの恋人とかけまして、,ビールとときます。,そのこころは、どちらもあわないと寂しい。
正午の時報とかけまして、,ライバルとときます。,そのこころは、どちらもはり合います。
運命の人とかけまして、,日本とときます。,そのこころは、どちらもえんがある。
老王の嘆きとかけまして、,深夜とときます。,そのこころは、どちらもよも、ふけた。
飲み会とかけまして、,邪魔者とときます。,そのこころは、どちらもつまみ出してください。
ダイヤモンドとかけまして、,天ぷらとときます。,そのこころは、どちらもからっとます。
明日やるとかけまして、,９９９９とときます。,そのこころは、どちらもしないんです。
傾いた家とかけまして、,限定発売品とときます。,そのこころは、どちらもかいたい。
野球とかけまして、,オタクの購買意欲とときます。,そのこころは、どちらも初回のとくてんが大事です。
野球選手とかけまして、,東大入試とときます。,そのこころは、どちらもセンターは重要です。
メディアとかけまして、,バレーボールとときます。,そのこころは、どちらもネットを使ってサービスすることもあります。
悪いことをするとかけまして、,ドラムとときます。,そのこころは、どちらもバチが当たる。
長期入院とかけまして、,ライザップとときます。,そのこころは、どちらもとうぶん。
沖縄の海とかけまして、,生まれたての赤ちゃんとときます。,そのこころは、どちらもさんごは大切に育てる。
自販機の下とかけまして、,ダイエットとときます。,そのこころは、どちらもこうかがあったりなかったり。
鳥のヒナがいるべき場所とかけまして、,打楽器とときます。,そのこころは、どちらもうちならす。
ヨーグルトとかけまして、,町おこしイベントとときます。,そのこころは、どちらもちょうないが元気になります。
プレイボーイとかけまして、,サイクリングとときます。,そのこころは、どちらもこいで楽しみます。
フナかな？とかけまして、,見知らぬ美少女との出会いとときます。,そのこころは、どちらもこいかもしれません。
生まれたての赤ちゃんとかけまして、,沖縄の海とときます。,そのこころは、どちらもさんごは大切に育てる。
ウイスキーとかけまして、,バイキンマンとときます。,そのこころは、どちらもわるものです。
お父さんとかけまして、,不思議に思ったときとときます。,そのこころは、どちらもおやっ。
牛丼とかけまして、,海とときます。,そのこころは、どちらもなみがある。
社交ダンスとかけまして、,初級者の英語とときます。,そのこころは、どちらもタンゴから始めます。
持ち物没収とかけまして、,フライドチキンとときます。,そのこころは、どちらもとりあげます。
大酒飲みとかけまして、,出初式とときます。,そのこころは、どちらももちろんハシゴがつきものです。
キャリーバッグとかけまして、,ニュース番組とときます。,そのこころは、どちらもキャスターは重要です。
高性能車とかけまして、,きもだめしとときます。,そのこころは、どちらもはいおく」が効果的。
宝くじに当たったとかけまして、,おもちとときます。,そのこころは、どちらもついてます。
飛行機とかけまして、,ギターとときます。,そのこころは、どちらもこうどがあって進行します。
結婚式のスピーチとかけまして、,ミニスカートとときます。,そのこころは、どちらも短いほど喜ばれます。
いまいちなお味のお味噌汁とかけまして、,ライバルに不覚にも一歩リードされたとときます。,そのこころは、どちらもだし抜かれた！
うどんとかけまして、,6月半ばとときます。,そのこころは、どちらもつゆに入ってます。
運動会とかけまして、,コスプレ撮影会とときます。,そのこころは、どちらもふけいは盛り上がる。
さくらんぼとかけまして、,プレゼントをもらうとときます。,そのこころは、どちらもにこっ！
停電の夜とかけまして、,恋人とのクリスマスデートとときます。,そのこころは、どちらもキャンドル、ないとね。
将棋士とかけまして、,漫画家とときます。,そのこころは、どちらもコマの使い方が大切です。
アルファベットのＢとかけまして、,東京ディズニーランドとときます。,そのこころは、どちらもとなりはシーです。
初日の出とかけまして、,新聞とときます。,そのこころは、どちらも朝日に、さんけい、良い毎日を願います。
占いとかけまして、,茶道とときます。,そのこころは、どちらもせいざが欠かせません。
もりそばとかけまして、,ダンスミュージックとときます。,そのこころは、どちらもノリが欲しいと思います。
ご馳走をたらふく食べるとかけまして、,月夜のたぬきとときます。,そのこころは、どちらもお腹ぽんぽん！
秋とかけまして、,くとときます。,そのこころは、どちらもかきの次なんです。
アジア料理とかけまして、,賃貸契約終了間近とときます。,そのこころは、どちらもこうしんりょうが必要です。
天ぷらとかけまして、,授業参観に行った親とときます。,そのこころは、どちらもあげたてが嬉しい。
ダイヤモンドの指輪とかけまして、,ボクシング世界王者とときます。,そのこころは、どちらもリングの上で輝きを放ちます。
コスプレ撮影会とかけまして、,運動会とときます。,そのこころは、どちらもふけいは盛り上がる。
ドライブスルーとかけまして、,健康とときます。,そのこころは、どちらもちゅうしゃいらずです。
野球とかけまして、,軽音部とときます。,そのこころは、どちらもベースが必要です。
幼き日の恋心とかけまして、,ｉPadとときます。,そのこころは、どちらも小さな、あいから始まります。
洋食とかけまして、,丸とときます。,そのこころは、どちらもはしがありません。
失恋とかけまして、,コロンブスとときます。,そのこころは、どちらも何度も何度も、こうかいします。
うどんとかけまして、,お坊さんとときます。,そのこころは、どちらもつるつる！
ローマとかけまして、,時間通りの発車とときます。,そのこころは、どちらもていこくでした。
内気な人の恋心とかけまして、,始球式とときます。,そのこころは、どちらも大抵は届きません。
靴とかけまして、,お腹とときます。,そのこころは、どちらも歩くと減る。
地球温暖化とかけまして、,だらだら続くイントロクイズとときます。,そのこころは、どちらもなんきょく終わるのか？
双子とかけまして、,ポトフとときます。,そのこころは、どちらもそうせいじいます。
偉い人の前とかけまして、,ダイエット中とときます。,そのこころは、どちらもかしこまります。
雪の中のうさぎとかけまして、,カレーうどんとときます。,そのこころは、どちらも良く跳ねて跡を残します。
人生を振り返るとかけまして、,赤ペンで校正とときます。,そのこころは、どちらも間違いが多いと真っ赤になります。
９９９９とかけまして、,明日やるとときます。,そのこころは、どちらもしないんです。
メガネとかけまして、,漫才とときます。,そのこころは、どちらもどつきがある。
中学生とかけまして、,ビオフェルミンＳとときます。,そのこころは、どちらもきちんと、せいちょうさせることが大切。
かつらとかけまして、,大酒飲みのグラスとときます。,そのこころは、どちらもつがないとからになります。
太平洋に落ちた１円玉とかけまして、,邪馬台国とときます。,そのこころは、どちらもどこにあるのか分かりません。
ビスケットとかけまして、,アニメの主題歌とときます。,そのこころは、どちらもこどもに人気のかしなんです。
おやつとかけまして、,三つ子のきょうだいとときます。,そのこころは、どちらもさんじ。
大脱走とかけまして、,芸術家とときます。,そのこころは、どちらもそうさくを続けます。
天気の良い日とかけまして、,ボールとときます。,そのこころは、どちらもふりません。
速記者とかけまして、,花粉症とときます。,そのこころは、どちらもめもかきまくります。
プレゼントとかけまして、,梅雨とときます。,そのこころは、どちらも早く、あけてほしい。
探しても見つからないとかけまして、,呪文とときます。,そのこころは、どちらもまじない。
オープンな性格とかけまして、,平等とときます。,そのこころは、どちらもかくさないです。
モテない男とかけまして、,東京が私に来ました。とときます。,そのこころは、どちらもじょしについて勉強しましょう。
国語の授業とかけまして、,二次会とときます。,そのこころは、どちらもかんじの大切さを痛感します。
大福とかけまして、,お世話になった先生とときます。,そのこころは、どちらもわがしです。
大正時代とかけまして、,朝礼での社訓とときます。,そのこころは、どちらもこのあと、しょうわが始まります。
健康とかけまして、,ドライブスルーとときます。,そのこころは、どちらもちゅうしゃいらずです。
新学期とかけまして、,雑誌の読者ページとときます。,そのこころは、どちらもとうこうしないと始まらない。
天然の牡蠣とかけまして、,和食とときます。,そのこころは、どちらもようしょくではありません。
合奏とかけまして、,ＬＯＶＥとときます。,そのこころは、どちらもかなであい。
ジグソーパズルとかけまして、,当選した宝くじとときます。,そのこころは、どちらもくみちがいもあります。
山場を越えた仕事とかけまして、,門出とときます。,そのこころは、どちらもグッドラック！
年金問題とかけまして、,腹筋運動とときます。,そのこころは、どちらも人によって、はらわれ方が違います。
オリンピックとかけまして、,陶芸とときます。,そのこころは、どちらもかきもあります。
コーヒーとかけまして、,メディアとときます。,そのこころは、どちらもブレイクするのに役立ちます。
音楽の都とかけまして、,歯医者の治療とときます。,そのこころは、どちらもウイ～ン！
レシーブとかけまして、,お好み焼きとときます。,そのこころは、どちらもちゃんと返さないと崩れる。
芸術家の最期とかけまして、,こたつの上とときます。,そのこころは、どちらもみかんがあります。
腹筋運動とかけまして、,年金問題とときます。,そのこころは、どちらも人によって、はらわれ方が違います。
事務次官とかけまして、,夕刊とときます。,そのこころは、どちらもちょうかんではありません。
当選した宝くじとかけまして、,ジグソーパズルとときます。,そのこころは、どちらもくみちがいもあります。
お刺身盛り合わせとかけまして、,結婚生活とときます。,そのこころは、どちらもつまは大事です。
野球チームのレギュラーとかけまして、,物を無くした人とときます。,そのこころは、どちらもナインです。
お金とかけまして、,はさみとときます。,そのこころは、どちらもちょきん！
瀬戸物とかけまして、,電卓とときます。,そのこころは、どちらもかけたり割ったりします。
限定発売品とかけまして、,傾いた家とときます。,そのこころは、どちらもかいたい。
バーテンダーとかけまして、,すばしこいボクサーとときます。,そのこころは、どちらもカウンターで勝負します。
サンタクロースとかけまして、,ロミオとジュリエットとときます。,そのこころは、どちらもひげきになります。
三段跳びとかけまして、,ビールとときます。,そのこころは、どちらもホップが重要です。
コロンブスとかけまして、,練習不足のアスリートとときます。,そのこころは、どちらもたいかいします。
中高生とかけまして、,大変な問題とときます。,そのこころは、どちらもじゅうだいです。
熱さに耐える治療とかけまして、,電報とときます。,そのこころは、どちらもそれは、きゅうです。
漢字の公とかけまして、,豚肉の燻製とときます。,そのこころは、どちらもばらすとハムになります。
豚肉の燻製とかけまして、,漢字の公とときます。,そのこころは、どちらもばらすとハムになります。
サラダとかけまして、,BGMとときます。,そのこころは、どちらも何をかけるのか迷います。
スプレーとかけまして、,コレクターとときます。,そのこころは、どちらもしゅうしゅうしています。
ジャムおじさんとかけまして、,プランニングとときます。,そのこころは、どちらもあんを煮詰めています。
梅酒とかけまして、,音楽とときます。,そのこころは、どちらもロックは最高です。
ハリウッドとかけまして、,ごみを漁るカラスとときます。,そのこころは、どちらもたいさくます。
油断とかけまして、,安全な剣道の稽古とときます。,そのこころは、どちらもぜったいに、しないで。
大変な問題とかけまして、,中高生とときます。,そのこころは、どちらもじゅうだいです。
海とかけまして、,牛丼とときます。,そのこころは、どちらもなみがある。
落ち込んだ友人とかけまして、,空手家とときます。,そのこころは、どちらもいたわりが必須です。
目上の人への手紙とかけまして、,写真とときます。,そのこころは、どちらもはいけいがある。
今日の天気とかけまして、,お菓子売り場とときます。,そのこころは、どちらもあめが気になります。
新内閣発足とかけまして、,多忙の作家とときます。,そのこころは、どちらもかくりょうが気になります。
青とかけまして、,お腹がぺこぺこの時のごはんとときます。,そのこころは、どちらもかんしょく。
お腹とかけまして、,靴とときます。,そのこころは、どちらも歩くと減る。
ボクシング世界王者とかけまして、,ダイヤモンドの指輪とときます。,そのこころは、どちらもリングの上で輝きを放ちます。
開ける前のコーラとかけまして、,初恋とときます。,そのこころは、どちらもぜったいにふらないでください～。
新聞とかけまして、,初日の出とときます。,そのこころは、どちらも朝日に、さんけい、良い毎日を願います。
フライドチキンとかけまして、,持ち物没収とときます。,そのこころは、どちらもとりあげます。
恋人とのクリスマスデートとかけまして、,停電の夜とときます。,そのこころは、どちらもキャンドル、ないとね。
カーナビとかけまして、,一途な恋とときます。,そのこころは、どちらもカーナビ。
ワインとかけまして、,夏の夜の蛍とときます。,そのこころは、どちらもはっこうしています。
音楽とかけまして、,商店街とときます。,そのこころは、どちらもいろんな、てんぽがあります。
川柳とかけまして、,午後５時とときます。,そのこころは、どちらも１７じです。
美味しい天ぷらとかけまして、,気温の高い日が続くとときます。,そのこころは、どちらもころもがえー！
さなぎから蝶へとかけまして、,メール受信とときます。,そのこころは、どちらもへんしんする。
お好み焼きとかけまして、,ダイエット中とときます。,そのこころは、どちらもへらないと困ります。
うぐいすとかけまして、,タイムカプセルとときます。,そのこころは、どちらもうめに行く。
１人の３日分のごはんとかけまして、,小学校のランチとときます。,そのこころは、どちらもきっと、きゅうしょく。
インスタントラーメンとかけまして、,好きな人から告白された！とときます。,そのこころは、どちらもそくせきめん。
東京が私に来ました。とかけまして、,モテない男とときます。,そのこころは、どちらもじょしについて勉強しましょう。
ベーコンとかけまして、,12月24日とときます。,そのこころは、どちらもいぶしてます。
アニメの主題歌とかけまして、,ビスケットとときます。,そのこころは、どちらもこどもに人気のかしなんです。
振っても出ない貯金箱とかけまして、,新入社員とときます。,そのこころは、どちらもこれからだ。
のぼりとかけまして、,朝礼とときます。,そのこころは、どちらもあまりに長いと倒れます。
プランニングとかけまして、,ジャムおじさんとときます。,そのこころは、どちらもあんを煮詰めています。
ダイエットとかけまして、,自販機の下とときます。,そのこころは、どちらもこうかがあったりなかったり。
パーカーとかけまして、,ペットホテルとときます。,そのこころは、どちらもフード付き。
時間通りの発車とかけまして、,ローマとときます。,そのこころは、どちらもていこくでした。
ポトフとかけまして、,双子とときます。,そのこころは、どちらもそうせいじいます。
まわしをつかんだ横綱　とかけまして、,温泉とときます。,そのこころは、どちらもちから出るんです。
テニスとかけまして、,冬とときます。,そのこころは、どちらもコートがいる。
ヘアバンドとかけまして、,ホッチキスとときます。,そのこころは、どちらもかみをまとめます。
おかわり！とかけまして、,継続は力なりとときます。,そのこころは、どちらもモットー！
付き合いたてのカップルとかけまして、,楽器のチューニングとときます。,そのこころは、どちらもちょうしあわせ。
夏の山道とかけまして、,大病院とときます。,そのこころは、どちらもかが多い。
ＬＰとかけまして、,アルファベットのＡＢとときます。,そのこころは、どちらもＣＤの前です。
マグロの解体とかけまして、,十二単とときます。,そのこころは、どちらもきるのに時間がかかります。
５分だけ休憩とかけまして、,発泡酒とときます。,そのこころは、どちらもちょっと、やすめ。
水彩絵の具とかけまして、,名古屋や岐阜とときます。,そのこころは、どちらもちゅうぶに入ってます。
いい夢とかけまして、,スープとときます。,そのこころは、どちらもさめてほしくありません。
赤ペンで校正とかけまして、,人生を振り返るとときます。,そのこころは、どちらも間違いが多いと真っ赤になります。
ライザップとかけまして、,長期入院とときます。,そのこころは、どちらもとうぶん。
漁師とかけまして、,プロ野球とときます。,そのこころは、どちらもアマではありません。
ピッチャーとかけまして、,百貨店とときます。,そのこころは、どちらもとうきゅうもあります。
野球の一塁のランナーとかけまして、,本とときます。,そのこころは、どちらもきっと、リードする。
奥さんのお出かけとかけまして、,たこ焼きとときます。,そのこころは、どちらもつまようじがあるんです。
方言とかけまして、,正月番組とときます。,そのこころは、どちらも日本各地で、ことなっています。
年末の約束とかけまして、,広島とときます。,そのこころは、どちらもくれに行きます。
目の前にある山とかけまして、,秋とときます。,そのこころは、どちらもこえるものですから。
（10－4）÷3＝？とかけまして、,コーヒー豆とときます。,そのこころは、どちらもまずは、ひく。
大酒飲みのグラスとかけまして、,かつらとときます。,そのこころは、どちらもつがないとからになります。
仲良しカップルとかけまして、,中秋の名月とときます。,そのこころは、どちらもつきあってみて良かった。
ダイエット中とかけまして、,偉い人の前とときます。,そのこころは、どちらもかしこまります。
お坊さんとかけまして、,うどんとときます。,そのこころは、どちらもつるつる！
引っ越したばかりの新婚夫婦とかけまして、,竹取物語とときます。,そのこころは、どちらもかぐやは帰りました。
車とかけまして、,家とときます。,そのこころは、どちらもはしらないと困ります。
戒名とかけまして、,１２月３１日とときます。,そのこころは、どちらもおしょうがつくる。
ＴＶとかけまして、,お中元とときます。,そのこころは、どちらも良い、ほうそうを心がけます。
夏の窓辺とかけまして、,ギョーザとときます。,そのこころは、どちらもすだれがあるといい感じ。
ブログとかけまして、,戦地の兵隊とときます。,そのこころは、どちらも日々、こうしんしています。
反対とかけまして、,アルカリ性とときます。,そのこころは、どちらも逆は、さんせいです。
楽器のチューニングとかけまして、,付き合いたてのカップルとときます。,そのこころは、どちらもちょうしあわせ。
小さすぎる帽子とかけまして、,肌の強い人とときます。,そのこころは、どちらもかぶれません。
