商店街とかけまして、,音楽とときます。,そのこころは、どちらもいろんな、てんぽがあります。
クロスカントリーとかけまして、,準備不足の試験とときます。,そのこころは、どちらも山をかけて勝ちに行きます。
呪文とかけまして、,探しても見つからないとときます。,そのこころは、どちらもまじない。
卒業とかけまして、,サンマの塩焼きとときます。,そのこころは、どちらもすだちがある。
だらだら続くイントロクイズとかけまして、,地球温暖化とときます。,そのこころは、どちらもなんきょく終わるのか？
お坊さんとかけまして、,あいづちとときます。,そのこころは、どちらもそうね。
寿司とかけまして、,名曲とときます。,そのこころは、どちらもサビに涙するでしょう。
バーバリーとかけまして、,税関とときます。,そのこころは、どちらもチェックが多い。
中秋の名月とかけまして、,仲良しカップルとときます。,そのこころは、どちらもつきあってみて良かった。
濃い緑茶とかけまして、,新学期とときます。,そのこころは、どちらもたんにんが気になります。
結果とかけまして、,かけおちとときます。,そのこころは、どちらも反対が原因です。
初級者が上級者に挑戦とかけまして、,漢文とときます。,そのこころは、どちらも最初は、かなわないのが普通。
そんなにお腹すいてるなら・・・とかけまして、,真言宗の名僧は？とときます。,そのこころは、どちらもくうかい？
信号とかけまして、,カギとときます。,そのこころは、どちらもあかないと困ります。
強い人を前にしたときとかけまして、,オーダーメイドスーツとときます。,そのこころは、どちらもしたてに出ます。
酔っ払いとかけまして、,くらげとときます。,そのこころは、どちらもただよっています。
無精ひげとかけまして、,上質の塩とときます。,そのこころは、どちらもそるといい。
トランポリンとかけまして、,天使とときます。,そのこころは、どちらもはねないと困ります。
閉店セールとかけまして、,もうすぐ止まりそうな独楽とときます。,そのこころは、どちらももうすぐ、かいてんしなくなる。
中学生とかけまして、,休日のドライブとときます。,そのこころは、どちらもこうそくがある。
夕刊とかけまして、,事務次官とときます。,そのこころは、どちらもちょうかんではありません。
発泡酒とかけまして、,５分だけ休憩とときます。,そのこころは、どちらもちょっと、やすめ。
店の看板とかけまして、,ぎゅうぎゅうの満員電車とときます。,そのこころは、どちらものれん！
最近ギターの調子が多いとかけまして、,栄養ドリンクとときます。,そのこころは、どちらもひろう。
海の上で遭難とかけまして、,真面目な男子とときます。,そのこころは、どちらもなんぱせん。
食物アレルギーとかけまして、,プロボクサーとときます。,そのこころは、どちらもげんりょうが気になります。
12月24日とかけまして、,ベーコンとときます。,そのこころは、どちらもいぶしてます。
名曲とかけまして、,寿司とときます。,そのこころは、どちらもサビに涙するでしょう。
動物アレルギーとかけまして、,コーラの容器とときます。,そのこころは、どちらもペットにびんかんです。
大岡越前とかけまして、,魚屋さんとときます。,そのこころは、どちらもさばくのが上手い！
統率の取れない部隊とかけまして、,インフルエンザとときます。,そのこころは、どちらもたいちょうが悪い。
家族が怪我で運ばれる時とかけまして、,小倉百人一首とときます。,そのこころは、どちらもたんかが集まりました。
お世話になった先生とかけまして、,大福とときます。,そのこころは、どちらもわがしです。
国とかけまして、,ペンとときます。,そのこころは、どちらもけんよりも強し。
冬とかけまして、,テニスとときます。,そのこころは、どちらもコートがいる。
新幹線とかけまして、,カスタマイズされたパソコンとときます。,そのこころは、どちらもきせいが多い。
この味付け何？とかけまして、,１２月３１日とときます。,そのこころは、どちらもおお、味噌か！
カスタマイズされたパソコンとかけまして、,新幹線とときます。,そのこころは、どちらもきせいが多い。
アルファベットのＡＢとかけまして、,ＬＰとときます。,そのこころは、どちらもＣＤの前です。
工作の時間とかけまして、,おにぎりとときます。,そのこころは、どちらものりを使いたい。
丸とかけまして、,洋食とときます。,そのこころは、どちらもはしがありません。
ドラムとかけまして、,悪いことをするとときます。,そのこころは、どちらもバチが当たる。
ぎゅうぎゅうの満員電車とかけまして、,店の看板とときます。,そのこころは、どちらものれん！
大好きな恋人とかけまして、,目玉焼きとときます。,そのこころは、どちらもきみが中心。
卓球とかけまして、,正解とときます。,そのこころは、どちらもピンポーン！
肌の強い人とかけまして、,小さすぎる帽子とときます。,そのこころは、どちらもかぶれません。
始球式とかけまして、,内気な人の恋心とときます。,そのこころは、どちらも大抵は届きません。
ミニスカートとかけまして、,結婚式のスピーチとときます。,そのこころは、どちらも短いほど喜ばれます。
好きな人から告白された！とかけまして、,インスタントラーメンとときます。,そのこころは、どちらもそくせきめん。
総務課とかけまして、,新型列車のお披露目とときます。,そのこころは、どちらもてつづきが多すぎます。
お父さんの転勤とかけまして、,ハイキングとときます。,そのこころは、どちらもてんこうに振り回されます。
ご飯に卵とかけまして、,なぞかけとときます。,そのこころは、どちらもかけてといたらうまいでしょう。
酒屋さんとかけまして、,メガネとときます。,そのこころは、どちらも色んな度があります。
チャンスとかけまして、,ガンダムとときます。,そのこころは、どちらもいい、きかいです。
黒ひげ危機一髪とかけまして、,病院とときます。,そのこころは、どちらもけんさします。
まつたけとかけまして、,500円玉とときます。,そのこころは、どちらもこうかです。
魚屋さんとかけまして、,大岡越前とときます。,そのこころは、どちらもさばくのが上手い！
ポストとかけまして、,ピアノを弾くとときます。,そのこころは、どちらもてがみを出します。
坊主とかけまして、,新聞とときます。,そのこころは、どちらもけさ。
ゴーストライターとかけまして、,いびきとときます。,そのこころは、どちらもかいてる人はわかりません。
お化粧とかけまして、,コンタクトレンズとときます。,そのこころは、どちらも落とすと良く見えません。
平等とかけまして、,オープンな性格とときます。,そのこころは、どちらもかくさないです。
音楽とかけまして、,美しい本とときます。,そのこころは、どちらもひょうしが心に響きます。
図書館とかけまして、,カラオケとときます。,そのこころは、どちらもどんどん、かし出します。
陶芸とかけまして、,オリンピックとときます。,そのこころは、どちらもかきもあります。
名指揮者とかけまして、,コシヒカリとときます。,そのこころは、どちらもたくと光ります。
マグロとかけまして、,ピカソの未発表作品とときます。,そのこころは、どちらも専門家が、かいたい。
美術とかけまして、,将棋の駒とときます。,そのこころは、どちらもかくだけではありません。
ロミオとジュリエットとかけまして、,サンタクロースとときます。,そのこころは、どちらもひげきになります。
コーヒー豆とかけまして、,（10－4）÷3＝？とときます。,そのこころは、どちらもまずは、ひく。
コレクターとかけまして、,スプレーとときます。,そのこころは、どちらもしゅうしゅうしています。
海外旅行とかけまして、,お肌の手入れとときます。,そのこころは、どちらもパックがおすすめです。
夏の夜の蛍とかけまして、,ワインとときます。,そのこころは、どちらもはっこうしています。
日記の空白とかけまして、,耳なし芳一とときます。,そのこころは、どちらもきょう書くの忘れました。
おたふくソースとかけまして、,相思相愛とときます。,そのこころは、どちらもお好みにぴったりです。
メディアとかけまして、,コーヒーとときます。,そのこころは、どちらもブレイクするのに役立ちます。
殻付くるみとかけまして、,習い事を始めてすぐ発表会とときます。,そのこころは、どちらもかじったばかりに痛い目に遭う。
遺跡とかけまして、,チケットとときます。,そのこころは、どちらもはっけんされると嬉しい。
シャンプーを多めに使うとかけまして、,徳島県とときます。,そのこころは、どちらもあわだった。
梅雨とかけまして、,プレゼントとときます。,そのこころは、どちらも早く、あけてほしい。
肉料理とかけまして、,人の気持ちとときます。,そのこころは、どちらもさかなですると怒られます。
いびきとかけまして、,ゴーストライターとときます。,そのこころは、どちらもかいてる人はわかりません。
お花見とかけまして、,豊臣秀吉とときます。,そのこころは、どちらもきのしたと呼ばれます。
カクテルとかけまして、,新しい恋人とときます。,そのこころは、どちらも振った後に出来ます。
パンダのシャンシャンとかけまして、,親が決めた将来の結婚相手とときます。,そのこころは、どちらもいいなづけだね。
安全な剣道の稽古とかけまして、,油断とときます。,そのこころは、どちらもぜったいに、しないで。
本とかけまして、,野球の一塁のランナーとときます。,そのこころは、どちらもきっと、リードする。
１０万円のバッグが欲しいとかけまして、,注意力とときます。,そのこころは、どちらもさんまんじゃダメ！
ダイエット中とかけまして、,お好み焼きとときます。,そのこころは、どちらもへらないと困ります。
メガネとかけまして、,酒屋さんとときます。,そのこころは、どちらも色んな度があります。
あいづちとかけまして、,お坊さんとときます。,そのこころは、どちらもそうね。
ビニールのプチプチとかけまして、,熱帯魚とときます。,そのこころは、どちらもかんしょう用です。
肉好きのステーキとかけまして、,江戸っ子のお風呂とときます。,そのこころは、どちらもあつめがいい。
すばしこいボクサーとかけまして、,バーテンダーとときます。,そのこころは、どちらもカウンターで勝負します。
芸術家とかけまして、,大脱走とときます。,そのこころは、どちらもそうさくを続けます。
家とかけまして、,車とときます。,そのこころは、どちらもはしらないと困ります。
豊臣秀吉とかけまして、,お花見とときます。,そのこころは、どちらもきのしたと呼ばれます。
夏休み明けとかけまして、,おしゃべりに夢中な焼肉の肉とときます。,そのこころは、どちらもみんな黒くなってます。
税関とかけまして、,バーバリーとときます。,そのこころは、どちらもチェックが多い。
豚骨ラーメンとかけまして、,運動後のスポーツドリンクとときます。,そのこころは、どちらもきゅうしゅう」が良い。
朝礼とかけまして、,のぼりとときます。,そのこころは、どちらもあまりに長いと倒れます。
現代文とかけまして、,親分とときます。,そのこころは、どちらもこぶんじゃありません。
ピカソの未発表作品とかけまして、,マグロとときます。,そのこころは、どちらも専門家が、かいたい。
柿とかけまして、,音符とときます。,そのこころは、どちらもしぶがある。
多忙の作家とかけまして、,新内閣発足とときます。,そのこころは、どちらもかくりょうが気になります。
電話とかけまして、,ボタンとときます。,そのこころは、どちらもかけ違いもある。
秋の味覚とかけまして、,吉兆のシンボルとときます。,そのこころは、どちらもまつたけうめー！
パンとかけまして、,新聞とときます。,そのこころは、どちらもきじが重要。
邪魔者とかけまして、,飲み会とときます。,そのこころは、どちらもつまみ出してください。
非常食とかけまして、,よもぎとときます。,そのこころは、どちらももちが良い。
もぐらたたきとかけまして、,こたつとときます。,そのこころは、どちらもポカポカします。
先生とかけまして、,自分の思いとときます。,そのこころは、どちらもいしとも表現できる。
電気屋さんとかけまして、,鉄道マニアとときます。,そのこころは、どちらもはいせんにも詳しいです。
日本とかけまして、,運命の人とときます。,そのこころは、どちらもえんがある。
アルカリ性とかけまして、,反対とときます。,そのこころは、どちらも逆は、さんせいです。
かきくけことかけまして、,朝礼とときます。,そのこころは、どちらもさぎょうの前です。
生クリームとかけまして、,お金とときます。,そのこころは、どちらもけーきには欠かせません。
和同開珎とかけまして、,やっと一次選考に合格とときます。,そのこころは、どちらも初めての、つうかです。
バレーボールとかけまして、,メディアとときます。,そのこころは、どちらもネットを使ってサービスすることもあります。
こたつの上とかけまして、,芸術家の最期とときます。,そのこころは、どちらもみかんがあります。
マラソンとかけまして、,歌とときます。,そのこころは、どちらもばんそうもあります。
虫歯とかけまして、,漂白剤とときます。,そのこころは、どちらもはいたー！
アイスクリームとかけまして、,釣りとときます。,そのこころは、どちらも時々あたりがあります。
１２月３１日とかけまして、,この味付け何？とときます。,そのこころは、どちらもおお、味噌か！
練習不足のアスリートとかけまして、,コロンブスとときます。,そのこころは、どちらもたいかいします。
住民税アップとかけまして、,数字の１６とときます。,そのこころは、どちらもしのじじょうです。
愛の告白とかけまして、,筋肉痛とときます。,そのこころは、どちらもなかなか、いえない。
かけおちとかけまして、,結果とときます。,そのこころは、どちらも反対が原因です。
漫画家とかけまして、,将棋士とときます。,そのこころは、どちらもコマの使い方が大切です。
薬とかけまして、,お金とときます。,そのこころは、どちらもこうかがあるんです。
町おこしイベントとかけまして、,ヨーグルトとときます。,そのこころは、どちらもちょうないが元気になります。
十二単とかけまして、,マグロの解体とときます。,そのこころは、どちらもきるのに時間がかかります。
親分とかけまして、,現代文とときます。,そのこころは、どちらもこぶんじゃありません。
スープとかけまして、,いい夢とときます。,そのこころは、どちらもさめてほしくありません。
わかめとかけまして、,人が乗らない電車とときます。,そのこころは、どちらもかいそうです。
ＬＯＶＥとかけまして、,合奏とときます。,そのこころは、どちらもかなであい。
ダンスミュージックとかけまして、,もりそばとときます。,そのこころは、どちらもノリが欲しいと思います。
オタクの購買意欲とかけまして、,野球とときます。,そのこころは、どちらも初回のとくてんが大事です。
ニュース番組とかけまして、,キャリーバッグとときます。,そのこころは、どちらもキャスターは重要です。
軽音部とかけまして、,野球とときます。,そのこころは、どちらもベースが必要です。
オオカミとかけまして、,メッシュの帽子とときます。,そのこころは、どちらもむれません。
音符とかけまして、,柿とときます。,そのこころは、どちらもしぶがある。
漢文とかけまして、,初級者が上級者に挑戦とときます。,そのこころは、どちらも最初は、かなわないのが普通。
たこ焼きとかけまして、,奥さんのお出かけとときます。,そのこころは、どちらもつまようじがあるんです。
公営ギャンブルとかけまして、,ボクシングとときます。,そのこころは、どちらも手は出しても足が出てはいけません。
オーケストラとかけまして、,日本の風景とときます。,そのこころは、どちらもしきが重要です。
おそ松くんのイヤミとかけまして、,夏の終わりとときます。,そのこころは、どちらもざんしょがつきもの。
必ず当たる凄腕の賭け師とかけまして、,金環日食とときます。,そのこころは、どちらもつきだけで出来るもんじゃない。
継続は力なりとかけまして、,おかわり！とときます。,そのこころは、どちらもモットー！
便利な交通網とかけまして、,オーダースーツとときます。,そのこころは、どちらもきやすい。
桜とかけまして、,おつまみのチーズ鱈とときます。,そのこころは、どちらもさくのが楽しみです。
真面目な男子とかけまして、,海の上で遭難とときます。,そのこころは、どちらもなんぱせん。
プレゼントをもらうとかけまして、,さくらんぼとときます。,そのこころは、どちらもにこっ！
下手なバッターとかけまして、,雨の日とときます。,そのこころは、どちらもうてん。
ライバルに不覚にも一歩リードされたとかけまして、,いまいちなお味のお味噌汁とときます。,そのこころは、どちらもだし抜かれた！
長くて読みづらい文章とかけまして、,大病院勤務の医者とときます。,そのこころは、どちらもかいぎょうするとよい。
ガンダムとかけまして、,チャンスとときます。,そのこころは、どちらもいい、きかいです。
ペットホテルとかけまして、,パーカーとときます。,そのこころは、どちらもフード付き。
ハイキングとかけまして、,お父さんの転勤とときます。,そのこころは、どちらもてんこうに振り回されます。
合唱とかけまして、,冷凍庫とときます。,そのこころは、どちらもこーらす。
準備不足の試験とかけまして、,クロスカントリーとときます。,そのこころは、どちらも山をかけて勝ちに行きます。
事故の原因とかけまして、,仕事に困らない人とときます。,そのこころは、どちらもしかくがあるからです。
フルネームとかけまして、,鎖国とときます。,そのこころは、どちらも外国人は、ながさき。
コアラとかけまして、,好きなものとときます。,そのこころは、どちらもきにいる。
電報とかけまして、,熱さに耐える治療とときます。,そのこころは、どちらもそれは、きゅうです。
結婚生活とかけまして、,お刺身盛り合わせとときます。,そのこころは、どちらもつまは大事です。
新聞とかけまして、,パンとときます。,そのこころは、どちらもきじが重要。
ごみを漁るカラスとかけまして、,ハリウッドとときます。,そのこころは、どちらもたいさくます。
秋田名物とかけまして、,マラソンの沿道とときます。,そのこころは、どちらもはたはたです。
メロンとかけまして、,イケメンとときます。,そのこころは、どちらもマスクの甘さは桁違い。
猫の好物とかけまして、,水戸黄門とときます。,そのこころは、どちらもまたたびです。
お腹がぺこぺこの時のごはんとかけまして、,青とときます。,そのこころは、どちらもかんしょく。
漂白剤とかけまして、,虫歯とときます。,そのこころは、どちらもはいたー！
プロ野球とかけまして、,漁師とときます。,そのこころは、どちらもアマではありません。
海外映画の歴史とかけまして、,シュークリームとときます。,そのこころは、どちらもようがし。
偶数とかけまして、,竹とときます。,そのこころは、どちらもきれいに割れます。
仕事に困らない人とかけまして、,事故の原因とときます。,そのこころは、どちらもしかくがあるからです。
お中元とかけまして、,ＴＶとときます。,そのこころは、どちらも良い、ほうそうを心がけます。
吉兆のシンボルとかけまして、,秋の味覚とときます。,そのこころは、どちらもまつたけうめー！
機械いじりとかけまして、,乾杯とときます。,そのこころは、どちらもドライバーを用意した方がいい。
栃木の名産とかけまして、,　一升瓶の１/１０とときます。,そのこころは、どちらもいちごー！
冷凍庫とかけまして、,合唱とときます。,そのこころは、どちらもこーらす。
　一升瓶の１/１０とかけまして、,栃木の名産とときます。,そのこころは、どちらもいちごー！
イブニングドレスとかけまして、,ほうきとときます。,そのこころは、どちらもせいそうで使います。
相思相愛とかけまして、,おたふくソースとときます。,そのこころは、どちらもお好みにぴったりです。
空手家とかけまして、,落ち込んだ友人とときます。,そのこころは、どちらもいたわりが必須です。
不思議に思ったときとかけまして、,お父さんとときます。,そのこころは、どちらもおやっ。
新しい恋人とかけまして、,カクテルとときます。,そのこころは、どちらも振った後に出来ます。
運動後のスポーツドリンクとかけまして、,豚骨ラーメンとときます。,そのこころは、どちらもきゅうしゅう」が良い。
諸葛亮孔明とかけまして、,ビルの屋上とときます。,そのこころは、どちらも必ず、さくをめぐらします。
大根とかけまして、,網棚に上げた荷物とときます。,そのこころは、どちらもおろします。
すごろくとかけまして、,寿司とときます。,そのこころは、どちらも最後はあがり。
竹取物語とかけまして、,引っ越したばかりの新婚夫婦とときます。,そのこころは、どちらもかぐやは帰りました。
門出とかけまして、,山場を越えた仕事とときます。,そのこころは、どちらもグッドラック！
１００円ショップとかけまして、,ピンチランナーとときます。,そのこころは、どちらもだいそうが活躍します。
将棋の駒とかけまして、,美術とときます。,そのこころは、どちらもかくだけではありません。
初級者の英語とかけまして、,社交ダンスとときます。,そのこころは、どちらもタンゴから始めます。
お好み焼きとかけまして、,レシーブとときます。,そのこころは、どちらもちゃんと返さないと崩れる。
くとかけまして、,秋とときます。,そのこころは、どちらもかきの次なんです。
サイクリングとかけまして、,プレイボーイとときます。,そのこころは、どちらもこいで楽しみます。
動物園とかけまして、,俺が守る！とときます。,そのこころは、どちらもかば　います。
ギョーザとかけまして、,夏の窓辺とときます。,そのこころは、どちらもすだれがあるといい感じ。
美しい本とかけまして、,音楽とときます。,そのこころは、どちらもひょうしが心に響きます。
日本の苗字とかけまして、,ものすごく甘いコーヒーとときます。,そのこころは、どちらもさとうが多い。
打楽器とかけまして、,鳥のヒナがいるべき場所とときます。,そのこころは、どちらもうちならす。
ホッチキスとかけまして、,ヘアバンドとときます。,そのこころは、どちらもかみをまとめます。
寿司とかけまして、,すごろくとときます。,そのこころは、どちらも最後はあがり。
牛丼店の価格競争とかけまして、,受験日前日とときます。,そのこころは、どちらも今は絶対、ねを上げられません。
タイムカプセルとかけまして、,うぐいすとときます。,そのこころは、どちらもうめに行く。
天使とかけまして、,トランポリンとときます。,そのこころは、どちらもはねないと困ります。
ボールとかけまして、,天気の良い日とときます。,そのこころは、どちらもふりません。
シュークリームとかけまして、,海外映画の歴史とときます。,そのこころは、どちらもようがし。
梅雨明けとかけまして、,ペットとときます。,そのこころは、どちらもなつきます。
目玉焼きとかけまして、,大好きな恋人とときます。,そのこころは、どちらもきみが中心。
カギとかけまして、,信号とときます。,そのこころは、どちらもあかないと困ります。
花粉症とかけまして、,速記者とときます。,そのこころは、どちらもめもかきまくります。
チケットとかけまして、,遺跡とときます。,そのこころは、どちらもはっけんされると嬉しい。
大衆食堂とかけまして、,森とときます。,そのこころは、どちらもソバにハヤシもあります。
ほうきとかけまして、,イブニングドレスとときます。,そのこころは、どちらもせいそうで使います。
江戸幕府とかけまして、,問題の回答者とときます。,そのこころは、どちらもとくがわです。
将棋とかけまして、,傘とときます。,そのこころは、どちらも二人でさすと楽しい！
写真とかけまして、,目上の人への手紙とときます。,そのこころは、どちらもはいけいがある。
好きなものとかけまして、,コアラとときます。,そのこころは、どちらもきにいる。
宝くじとかけまして、,パナマとときます。,そのこころは、どちらもうんが大切です。
陸上部とかけまして、,引越し屋さんとときます。,そのこころは、どちらもトラックで走り回ります。
三つ子のきょうだいとかけまして、,おやつとときます。,そのこころは、どちらもさんじ。
上質の塩とかけまして、,無精ひげとときます。,そのこころは、どちらもそるといい。
凶作だった果物農園とかけまして、,壊れたクラリネットとときます。,そのこころは、どちらもドレもミ。
スーパーで夕飯を何にしようか悩んでいる主婦とかけまして、,水やりを忘れた鉢植えの植物とときます。,そのこころは、どちらも結局、さかなかったそうです。
筋肉痛とかけまして、,愛の告白とときます。,そのこころは、どちらもなかなか、いえない。
朝礼とかけまして、,かきくけことときます。,そのこころは、どちらもさぎょうの前です。
バイキンマンとかけまして、,ウイスキーとときます。,そのこころは、どちらもわるものです。
探し物してるときとかけまして、,寒い日のココアとときます。,そのこころは、どちらもあったか～い！
問題の回答者とかけまして、,江戸幕府とときます。,そのこころは、どちらもとくがわです。
秋とかけまして、,目の前にある山とときます。,そのこころは、どちらもこえるものですから。
よもぎとかけまして、,非常食とときます。,そのこころは、どちらももちが良い。
メール受信とかけまして、,さなぎから蝶へとときます。,そのこころは、どちらもへんしんする。
人の気持ちとかけまして、,肉料理とときます。,そのこころは、どちらもさかなですると怒られます。
花火とかけまして、,カップめんとときます。,そのこころは、どちらもかやくがあります。
なぞかけとかけまして、,夏目漱石とときます。,そのこころは、どちらもこころが重要です。
献血キャンペーンとかけまして、,たつてととときます。,そのこころは、どちらもちが足りない！
熱帯魚とかけまして、,ビニールのプチプチとときます。,そのこころは、どちらもかんしょう用です。
戦地の兵隊とかけまして、,ブログとときます。,そのこころは、どちらも日々、こうしんしています。
500円玉とかけまして、,まつたけとときます。,そのこころは、どちらもこうかです。
